loan_amnt,total_loans,defaulted_loans,default_rate
37425,13,1,7.69
37450,14,0,0.0
37475,10,0,0.0
37500,185,12,6.49
37525,16,0,0.0
37550,14,1,7.14
37575,10,1,10.0
37600,11,0,0.0
37625,13,2,15.38
37650,8,0,0.0
37675,17,1,5.88
37700,8,0,0.0
37725,10,0,0.0
37750,13,1,7.69
37775,9,0,0.0
37800,80,2,2.5
37825,15,0,0.0
37850,8,0,0.0
37875,13,0,0.0
37900,20,0,0.0
37925,13,0,0.0
37950,16,0,0.0
37975,5,0,0.0
38000,807,18,2.23
38025,10,2,20.0
38050,12,0,0.0
38075,11,0,0.0
38100,14,0,0.0
38125,6,0,0.0
38150,15,2,13.33
38175,8,0,0.0
38200,11,2,18.18
38225,11,0,0.0
38250,15,1,6.67
38275,12,1,8.33
38300,17,2,11.76
38325,12,1,8.33
38350,6,0,0.0
38375,11,1,9.09
38400,310,6,1.94
38425,11,2,18.18
38450,12,1,8.33
38475,12,2,16.67
38500,97,1,1.03
38525,9,0,0.0
38550,6,0,0.0
38575,12,0,0.0
38600,8,2,25.0
38625,10,1,10.0
38650,11,0,0.0
38675,10,0,0.0
38700,16,1,6.25
38725,7,0,0.0
38750,18,1,5.56
38775,5,0,0.0
38800,14,0,0.0
38825,16,0,0.0
38850,17,0,0.0
38875,15,0,0.0
38900,13,0,0.0
38925,8,1,12.5
38950,12,2,16.67
38975,14,0,0.0
39000,331,4,1.21
39025,7,0,0.0
39050,10,0,0.0
39075,10,0,0.0
39100,18,1,5.56
39125,13,1,7.69
39150,10,0,0.0
39175,10,2,20.0
39200,96,5,5.21
39225,7,0,0.0
39250,15,0,0.0
39275,15,0,0.0
39300,6,0,0.0
39325,5,0,0.0
39350,17,1,5.88
39375,7,0,0.0
39400,12,0,0.0
39425,11,0,0.0
39450,6,0,0.0
39475,13,1,7.69
39500,79,0,0.0
39525,15,0,0.0
39550,18,0,0.0
39575,8,0,0.0
39600,100,4,4.0
39625,8,0,0.0
39650,8,0,0.0
39675,10,0,0.0
39700,15,1,6.67
39725,12,1,8.33
39750,11,1,9.09
39775,13,0,0.0
39800,10,0,0.0
39825,13,1,7.69
39850,7,1,14.29
39875,8,0,0.0
39900,24,2,8.33
39925,14,0,0.0
39950,10,1,10.0
39975,11,0,0.0
40000,33368,1277,3.83
