dti,total_loans,defaulted_loans,default_rate
38.85,107,20,18.69
38.86,94,18,19.15
38.87,68,13,19.12
38.88,120,18,15.0
38.89,93,18,19.35
38.9,101,18,17.82
38.91,85,9,10.59
38.92,87,14,16.09
38.93,114,14,12.28
38.94,80,15,18.75
38.95,98,16,16.33
38.96,111,23,20.72
38.97,103,11,10.68
38.98,113,18,15.93
38.99,86,16,18.6
39.0,79,18,22.78
39.01,83,10,12.05
39.02,82,20,24.39
39.03,109,14,12.84
39.04,84,10,11.9
39.05,87,13,14.94
39.06,85,20,23.53
39.07,73,8,10.96
39.08,91,14,15.38
39.09,80,12,15.0
39.1,86,12,13.95
39.11,66,11,16.67
39.12,99,16,16.16
39.13,84,16,19.05
39.14,81,14,17.28
39.15,73,5,6.85
39.16,77,11,14.29
39.17,83,17,20.48
39.18,75,14,18.67
39.19,49,7,14.29
39.2,143,25,17.48
39.21,83,19,22.89
39.22,68,15,22.06
39.23,99,12,12.12
39.24,83,11,13.25
39.25,68,11,16.18
39.26,68,10,14.71
39.27,81,16,19.75
39.28,80,13,16.25
39.29,76,8,10.53
39.3,89,9,10.11
39.31,80,11,13.75
39.32,86,18,20.93
39.33,96,24,25.0
39.34,81,11,13.58
39.35,83,10,12.05
39.36,79,13,16.46
39.37,91,15,16.48
39.38,84,6,7.14
39.39,65,14,21.54
39.4,87,15,17.24
39.41,90,17,18.89
39.42,89,18,20.22
39.43,86,12,13.95
39.44,88,11,12.5
39.45,73,15,20.55
39.46,75,9,12.0
39.47,67,5,7.46
39.48,70,6,8.57
39.49,81,18,22.22
39.5,62,9,14.52
39.51,81,16,19.75
39.52,91,11,12.09
39.53,63,9,14.29
39.54,81,5,6.17
39.55,81,13,16.05
39.56,84,14,16.67
39.57,105,9,8.57
39.58,73,11,15.07
39.59,49,5,10.2
39.6,119,20,16.81
39.61,77,13,16.88
39.62,59,10,16.95
39.63,85,13,15.29
39.64,87,14,16.09
39.65,73,9,12.33
39.66,93,18,19.35
39.67,65,8,12.31
39.68,93,14,15.05
39.69,65,13,20.0
39.7,84,15,17.86
39.71,62,8,12.9
39.72,80,12,15.0
39.73,89,15,16.85
39.74,73,9,12.33
39.75,96,21,21.88
39.76,78,10,12.82
39.77,84,11,13.1
39.78,95,15,15.79
39.79,72,7,9.72
39.8,108,14,12.96
39.81,56,10,17.86
